# Copyright (c) 2016 CJKVI Database
GHZR42324.20	⿰⿳业䒑𠔍殳
GHZR42325.09	⿰⿸尸⿱玍黑殳
GHZR42326.04	⿱文手
GHZR42327.16	⿱弱文
GHZR42327.22	⿰出斊
GHZR42340.14	⿰方⿱𠂉𡉵
GHZR42341.06	⿰旁升
GHZR42428.07	⿰忄刂
GHZR42430.10	⿱凡心
GHZR42433.14	⿱巨心
GHZR42435.10	⿱⿶凵又心
GHZR42443.02	⿳丷彐心
GHZR42443.03	⿱必心
GHZR42460.07	⿰忄㡯
GHZR42474.20	⿱⿰氏攵心
GHZR42484.02	⿰忄⿱厶𠇍
GHZR42488.01	⿱立忠
GHZR42498.12	⿱不𢙣
GHZR42502.05	⿰忄䙳
GHZR42506.03	⿰忄𢘿
GHZR42512.07	⿲忄亻⿱左月
GHZR42515.07	⿱⿰⿳士冖口殳心
GHZR42523.08	⿰忄𠔥
GHZR42524.09	⿱𣪊志
GHZR42530.08	⿱殸志
GHZR42536.04	⿰忄⿱覀朔
GHZR42537.16	⿰忄霝
GHZR42541.03	⿰丬子
GHZR42545.08	⿰爿𢇻
GHZR52555.02	⿰礻丌
GHZR52567.09	⿰礻𡉵
GHZR52574.17	⿰礻竒
GHZR52576.03	⿰礻㽜
GHZR52576.17	⿰礻⿱一⿻由㕥
GHZR52582.13	⿰礻蘥
GHZR52584.10	⿰甘老
GHZR52591.17	⿰石㕛
GHZR52596.04	⿱民石
GHZR52602.09	⿰石麦
GHZR52607.20	⿰石奔
GHZR52618.13	⿱敖石
GHZR52620.09	⿰石殺
GHZR52626.02	⿲石⿱山方攵
GHZR52626.06	⿰石𭦌
GHZR52627.12	⿰石⿱又桒
GHZR52628.04	⿰石替
GHZR52628.11	⿱斯石
GHZR52630.09	⿰石㫺
GHZR52631.03	⿰石𠔥
GHZR52634.07	⿰石赫
GHZR52635.13	⿰石賛
GHZR52639.09	⿰石毚
GHZR52666.09	⿰目妟
GHZR52667.04	⿰目役
GHZR52668.02	⿲目丬攵
GHZR52670.03	⿰目取
