# Copyright (c) 2014-2015 CJKVI Database
GZ-1791302	⿰架各
GZ-1821401	⿰木卡
GZ-1822401	⿰爹基
GZ-1832401	⿰既逢
GZ-1842102	⿰巨今
GZ-1842502	⿰手既
GZ-1852501	⿰手肩
GZ-1852502	⿰手見
GZ-1852508	⿰衤坚
GZ-1852513	⿰月坚
GZ-1871101	⿰身勤
GZ-1871404	⿰石建
GZ-1872404	⿱勤土
GZ-1872502	⿰手乾
GZ-1881501	⿰老吉
GZ-1881508	⿰吉老
GZ-1881512	⿰居老
GZ-1882304	⿰口结
GZ-1882305	⿰入去
GZ-1892301	⿺𫵼交
GZ-1892404	⿰牙交
GZ-1901201	⿰告磨
GZ-1901601	⿰木杰
GZ-1962101	⿰𧾷九
GZ-1982201	⿱冖禁
GZ-1982202	⿱宀甘
GZ-1982501	⿰曲今
GZ-1982502	⿰含甘
GZ-1992201	⿰月弓
GZ-1992402	⿰𧾷公
GZ-2001101	⿰手昆
GZ-2002201	⿰昆斤
GZ-2002301	⿰木呑
GZ-2011201	⿰虫急
GZ-2021102	⿰米角
GZ-2031301	⿰口弓
GZ-2032301	⿰先貫
GZ-2032311	⿰貫古
GZ-2032312	⿰先官
GZ-2042201	⿱口九
GZ-2042404	⿰木救
GZ-2062203	⿰石贯
GZ-2062205	⿰石官
GZ-2071401	⿰曲亏
GZ-2072301	⿺虎谷
GZ-2081101	⿰身共
GZ-2081102	⿰背共
GZ-2081106	⿰共背
GZ-2081108	⿰背告
GZ-2102201	⿰草曲
GZ-2112401	⿰手克
GZ-2112403	⿰扌層
GZ-2121202	⿴囗肯
GZ-2122101	⿴囗狂
GZ-2131101	⿰亻夬
GZ-2131403	⿰𧾷拐
GZ-2131601	⿰快戈
GZ-2132604	⿰女关
GZ-2142201	⿱宀光
GZ-2151602	⿰杀右
GZ-2152501	⿰寡刂
GZ-2181101	⿰子克
GZ-2181105	⿰亻克
GZ-2181404	⿱又上
GZ-2181405	⿱上月
GZ-2192401	⿺遠斉
GZ-2211201	⿴囗曾
GZ-2211202	⿵门江
GZ-2211203	⿴囗江
GZ-2211211	⿰子生
GZ-2211214	⿵門江
GZ-2221303	⿰火间
GZ-2221502	⿱竹急
GZ-2222301	⿰虽蛋
GZ-2222306	⿰介蛋
GZ-2231301	⿰九头
GZ-2231303	⿺走头
GZ-2231320	⿰首头
GZ-2231321	⿰首求
GZ-2231322	⿰头斗
GZ-2241101	⿰忄斉
GZ-2242306	⿰米加
GZ-2242603	⿰飠𬮦
GZ-2242611	⿰虫区
GZ-2251202	⿰𧾷強
GZ-2251215	⿱江中
GZ-2251216	⿰半江
GZ-2252101	⿰日江
GZ-2262501	⿰木巧
GZ-2271301	⿰主追
GZ-2271501	⿰卡刀
GZ-2272101	⿰子甲
GZ-2272102	⿱不母
GZ-2272105	⿱失母
GZ-2272109	⿱石入
GZ-2272112	⿰加瓜
GZ-2272501	⿰言却
GZ-2282401	⿰亻众
GZ-2282410	⿰多崬
GZ-2282415	⿱群共
GZ-2292401	⿰介蕉
GZ-2292505	⿰扌𨚫
GZ-2301202	⿰皮重
GZ-2301208	⿰革巩
GZ-2301211	⿰皮共
GZ-2302102	⿰扌穷
GZ-2302201	⿰君吞
GZ-2312402	⿱独六
GZ-2341101	⿰𧾷下
GZ-2341201	⿰𧾷五
GZ-2342307	⿰合交
GZ-2351106	⿰夜土
GZ-2351301	⿰夜舀
GZ-2351302	⿰日舀
GZ-2351314	⿰夜含
GZ-2352101	⿰夜比
GZ-2352401	⿰苦含
GZ-2352409	⿰苦禽
GZ-2352414	⿰苦咸
GZ-2361401	⿰口很
GZ-2361404	⿰口限
GZ-2362101	⿰見艮
GZ-2362402	⿰喜見
GZ-2371301	⿱亘心
GZ-2371303	⿱很心
GZ-2371307	⿰口恳
GZ-2371308	⿰口恨
GZ-2382101	⿰早乞
GZ-2382201	⿱則八
GZ-2382301	⿰臭后
GZ-2391301	⿱入口
GZ-2391305	⿱入好
GZ-2392402	⿰易屎
GZ-2401201	⿰扌夏
GZ-2402101	⿰賣𫔭
GZ-2402401	⿱亠火
GZ-2411501	⿰革亥
GZ-2411503	⿰衤亥
GZ-2411505	⿰革𫔭
GZ-2411506	⿰衤𫔭
GZ-2412103	⿱吐亥
GZ-2412301	⿰黑官
GZ-2422404	⿰旁岸
GZ-2422405	⿰岸舀
GZ-2431302	⿰口干
GZ-2431308	⿰口汉
GZ-2431310	⿰口寒
GZ-2432301	⿰鳥行
GZ-2441101	⿰月項
GZ-2451102	⿰吹五
GZ-2451601	⿰白号
GZ-2452201	⿰亻号
GZ-2461301	⿰火号
GZ-2462403	⿰氵好
GZ-2471101	⿰石毫
GZ-2471401	⿰扌許
GZ-2471407	⿰手午
GZ-2472101	⿰干去
GZ-2472103	⿰兑干
GZ-2472302	⿰草五
GZ-2472310	⿰草牙
GZ-2472311	⿰草苛
GZ-2481201	⿰刀兮
GZ-2481502	⿰易快
GZ-2491201	⿰亻客
GZ-2492106	⿰石行
GZ-2492501	⿰犭显
GZ-2501101	⿰显黄
GZ-2502102	⿰显守
GZ-2502201	⿰苦兮
GZ-2502502	⿰青号
GZ-2511301	⿰牙号
GZ-2522501	⿰身含
GZ-2532105	⿵门洪
GZ-2532304	⿵门空
GZ-2532306	⿰空半
GZ-2532309	⿰空力
GZ-2541306	⿰打云
GZ-2541407	⿰火云
GZ-2551101	⿰白灰
GZ-2551601	⿰亻灰
GZ-2551604	⿺氣穹
GZ-2552207	⿰忄苦
GZ-2552301	⿰苦可
GZ-2561409	⿱工巷
GZ-2571202	⿰周合
GZ-2571301	⿰𧾷賀
GZ-2571304	⿰𧾷庫
GZ-2572101	⿰口活
GZ-2572203	⿰扌活
GZ-2581104	⿰月何
GZ-2582503	⿰手红
GZ-2582505	⿸疒共
GZ-2582601	⿱雨昏
GZ-2591311	⿱凶大
GZ-2591314	⿱大兄
GZ-2601104	⿰要血
GZ-2601505	⿰日热
GZ-2601506	⿰日兴
GZ-2602101	⿱引上
GZ-2602107	⿱恨土
GZ-2602201	⿺走引
GZ-2602303	⿰目很
GZ-2622106	⿰弄泉
GZ-2632305	⿰日衣
GZ-2632501	⿰月衣
GZ-2641401	⿰靠英
GZ-2642201	⿰口应
GZ-2642501	⿰小意
GZ-2642502	⿰小衣
GZ-2642508	⿰子奇
GZ-2642510	⿵门小
GZ-2651304	⿰要夭
GZ-2661301	⿰口腊
GZ-2662101	⿰多托
GZ-2672501	⿺辶勒
GZ-2682101	⿰累鳥
GZ-2691201	⿰𧾷⿸广⿱囬示
GZ-2692101	⿱林死
GZ-2692302	⿱林风
GZ-2701101	⿰扌𬙙
GZ-2701110	⿸丶
GZ-2711101	⿰日黑
GZ-2711102	⿰日立
GZ-2711106	⿰立黑
GZ-2711107	⿰立夜
GZ-2711108	⿵门黑
GZ-2722301	⿰留刂
GZ-2732501	⿰目拉
GZ-2751401	⿱天下
GZ-2751407	⿱拉下
GZ-2761301	⿰子兰
GZ-2761304	⿰子⿵门东
GZ-2762301	⿰方養
GZ-2772402	⿱高虫
GZ-2781201	⿰𧾷兰
GZ-2782201	⿰劳刂
GZ-2801106	⿰亻户
GZ-2801109	⿰土慮
GZ-2801201	⿰⿱山尸鳥
GZ-2801305	⿰手下
GZ-2812401	⿰目类
GZ-2832401	⿰口刘
GZ-2842201	⿺色亮
GZ-2851102	⿱雨伞
GZ-2851104	⿰衤亮
GZ-2851201	⿱𠆢两
GZ-2851301	⿰目亮
GZ-2851302	⿰看亮
GZ-2851303	⿰目量
GZ-2872501	⿱灵心
GZ-2872502	⿰忄灵
GZ-2881405	⿰犭林
GZ-2882205	⿰舌令
GZ-2901101	⿰目了
GZ-2902105	⿰立生
GZ-2902801	⿰立爪
GZ-2912502	⿰車六
GZ-2922102	⿰手弄
GZ-2931501	⿰令下
GZ-2962202	⿰冫录
GZ-2962204	⿰六彔
GZ-2971401	⿰口乱
GZ-2991501	⿰子侖
GZ-2992102	⿱艹旭
GZ-3001404	⿰血列
GZ-3002301	⿰日連
GZ-3002401	⿰子力
GZ-3021108	⿰犭罵
GZ-3021208	⿰𧾷馬
GZ-3032202	⿰女闷
GZ-3032501	⿱敏力
GZ-3032511	⿱敏女
GZ-3041102	⿰木闷
GZ-3041105	⿰木门
GZ-3051202	⿰虫门
GZ-3051402	⿰美光
GZ-3052101	⿰虫乜
GZ-3052201	⿰火乜
GZ-3061404	⿰木米
GZ-3062102	⿺迷眉
GZ-3071401	⿰忄賣
GZ-3072401	⿰馬長
GZ-3081201	⿰百果
GZ-3091101	⿰辛曼
GZ-3121301	⿰筒七
GZ-3132201	⿰亻拜
GZ-3132601	⿱巴口
GZ-3142501	⿰肩巴
GZ-3142502	⿰肩大
GZ-3151201	⿱次八
