JTB1F4	⿰扌？
JTB206	⿰扌荗
JTB218	⿰扌⿳⺊日龰
JTB21FS	⿰扌⿳口木
JTB223	⿰扌䄅
JTB226	⿱⿳？一八手
JTB22CS	⿰扌⿱艹厘
JTB22E	⿰扌期
JTB250S	⿰⿱串女攵
JTB251	⿰⿳士冖禾攵
JTB257S	⿰⿱？女犮
JTB25A	⿰哥攵
JTB25ES	⿴斉一
JTB25FS	⿱文示
JTB260S	⿱文旦
JTB265S	⿰文正
JTB266S	⿰民文
JTB269S	⿱⿲幺言幺文
JTB26D	⿰県斤
JTB26F	⿱十⿹勹方
JTB271S	⿰方生
JTB27D	⿱日下
JTB284	⿱尺日
JTB287	⿱日水
JTB288	⿱⿹勹㐅日
JTB28A	⿱日夘
JTB28B	⿱日㚈
JTB28C	⿸昇丶
JTB293	⿱日⿰夕寸
JTB294	⿱日⿺㚈丶
JTB295	⿰日劦
JTB299	⿱日⿸⿻丿乛⿱七几
JTB2A0S	⿰日⿳亠儿夂
JTB2A5	⿱⿳一⿰幺幺一日
JTB2A6S	⿳百八日
JTB2AC	⿰日昇
JTB2AD	⿰日奈
JTB2AF	⿰日𠦝
JTB2B6	⿰日⿱圥元
JTB2B7	⿰日帝
JTB2B9S	⿰日⿳土卄兀
JTB2BB	⿰日晃
JTB2C0S	⿰日康
JTB2C1	⿰日亀
JTB2C8	⿰日萃
JTB2CA	⿰日⿳十罒衣
JTB2D0	⿰日⿱垚貝
JTB2D2	⿰智善
JTB2D8	⿱白昍
JTB2D9S	⿰⿱元日召
JTB2E2S	⿰月⿱䒑乂
JTB2EF	⿰月武
JTB2F6	⿰木已
JTB2F9	⿱木王
JTB2FB	⿰木𠀋
JTB300	⿱木？
JTB309	⿰木𫝆
JTB30B	⿰木？
JTB30C	⿰木
JTB320	⿰木㐂
JTB32C	⿰木⿺𫝁丶
JTB332	⿰木⿱䒑龰
JTB333	⿰束区
JTB33E	⿰木⿱宀𡖅
JTB33F	⿰木？
JTB341	⿰木⿱丷覀
JTB342	⿱㓞𠫡
JTB345	⿰木⿳丷王几
JTB346	⿰木⿷匚兆
JTB352	⿰木⿳甘一夂
JTB35B	⿰木荿
JTB35C	⿰木⿰反
JTB365	⿰木⿱⺊具
JTB36C	⿰木⿱羽日
JTB36E	⿰木倅
JTB372	⿰木⿱矛冋
JTB373	⿱山⿳丿罒木
JTB374	⿰木⿳百⺌一
JTB386	⿱⿰王囱木
JTB387	⿰木⿱艹？
JTB38B	⿰木焏
JTB38C	⿰木䄅
JTB390	⿱淮木
JTB391	⿰木⿱𠔉禾
JTB3A0	⿰木奥
JTB3A2S	⿰木⿱⿰午午心
JTB3A4	⿰木景
JTB3A5	⿰木策
JTB3B1	⿱林⿰耳巳
JTB3B2	⿰木⿱面旦
JTB3C8S	⿰木⿱竹？
JTB3CA	⿰木⿳艹隹
JTB3CD	⿰木⿱立黒
JTB3D3	⿱林廉
JTB3D6	⿰欠斤
JTB3D8	⿰⿱刀臼欠
JTB3DAS	⿰晋欠
JTB3DE	⿱正㇉
JTB3DF	⿰止靑
JTB3E1	⿱止𫀄
JTB3E6S	⿱止𫀄
JTB3E7S	⿱止⿰沙攵
JTB3E9	⿰歹斗
JTB3EA	⿰歹并
JTB3EC	⿰歹武
JTB3F1	⿰𠂤殳
JTB3F3S	⿰⿱白土殳
JTB3F5	⿰？殳
JTB3F6	⿰⿱豕殳
JTB40A	⿰氵万
JTB40C	⿰水工
JTB40D	⿱口水
JTB417S	⿰氵友
JTB426	⿰氵気
JTB429	⿱𠔉水
JTB42A	⿱𠔉水
JTB42CS	⿱⿱丷𡗗氺
